iter	MultiClass
0	2.863057638
1	2.729445723
2	2.619112275
3	2.527785282
4	2.437673778
5	2.36592162
6	2.306946509
7	2.242503985
8	2.190407239
9	2.146057792
10	2.105958746
11	2.058681499
12	2.018679406
13	1.978623023
14	1.94891418
15	1.920152709
16	1.895324624
17	1.862168003
18	1.835976386
19	1.81273533
20	1.785439793
21	1.767171414
22	1.745557605
23	1.726984915
24	1.710764899
25	1.691453064
26	1.670770912
27	1.647965189
28	1.625508137
29	1.605214787
30	1.588668486
31	1.575776568
32	1.563496338
33	1.554076033
34	1.540273147
35	1.525933507
36	1.511289676
37	1.498997583
38	1.484395982
39	1.470914428
40	1.45996818
41	1.445905245
42	1.434421031
43	1.42443344
44	1.410668128
45	1.397972138
46	1.383479095
47	1.372592722
48	1.360014923
49	1.350339369
50	1.338532143
51	1.329077593
52	1.3176153
53	1.306999722
54	1.295821027
55	1.285887009
56	1.280716009
57	1.274330095
58	1.261757459
59	1.254319165
60	1.244213716
61	1.23814847
62	1.229344787
63	1.220120719
64	1.212201301
65	1.206551283
66	1.201662142
67	1.194976234
68	1.187281819
69	1.176688653
70	1.169717055
71	1.160082215
72	1.151503207
73	1.14644946
74	1.13869012
75	1.130752476
76	1.122161751
77	1.116017304
78	1.105464364
79	1.098294023
80	1.088083236
81	1.082955904
82	1.077893014
83	1.069970839
84	1.063929363
85	1.052357952
86	1.044931955
87	1.038688209
88	1.034865903
89	1.027397389
90	1.020794473
91	1.014696645
92	1.010651005
93	1.006666689
94	0.9981977158
95	0.9930433313
96	0.9878605878
97	0.9826088768
98	0.9783918859
99	0.9755954189
100	0.9703981222
101	0.9608348073
102	0.9552304225
103	0.9524496019
104	0.9482220687
105	0.9451559594
106	0.9417717223
107	0.9383420205
108	0.9318259404
109	0.9272020056
110	0.9219357504
111	0.917152488
112	0.9140601999
113	0.9063863401
114	0.9027568803
115	0.8989208816
116	0.8959810877
117	0.8916147489
118	0.8876379452
119	0.8820856839
120	0.8774990424
121	0.8743149861
122	0.8714806988
123	0.8684327605
124	0.86461595
125	0.8621963517
126	0.8584515553
127	0.8555264903
128	0.8514107123
129	0.8478196166
130	0.8447099676
131	0.8418839206
132	0.8371849201
133	0.8351093482
134	0.8313271547
135	0.826653045
136	0.8226267691
137	0.8181799545
138	0.8144584738
139	0.8106523003
140	0.8074049456
141	0.8033405869
142	0.8018392722
143	0.7997939439
144	0.7957231377
145	0.7932453116
146	0.7899690329
147	0.7861412395
148	0.7838348387
149	0.7810158803
150	0.7765894922
151	0.7743464037
152	0.769926967
153	0.7681146897
154	0.7653275895
155	0.7634848031
156	0.7600111753
157	0.7576217911
158	0.7554421058
159	0.7538110708
160	0.7512024655
161	0.746775515
162	0.744710131
163	0.7425868783
164	0.7399119495
165	0.7380658107
166	0.7348029363
167	0.7320889672
168	0.7290207696
169	0.7270066946
170	0.7246502848
171	0.7213334376
172	0.7194453952
173	0.7165015977
174	0.7141588046
175	0.7120807231
176	0.7101620006
177	0.7076473747
178	0.7061206119
179	0.7044522792
180	0.7022632972
181	0.699522966
182	0.6961867215
183	0.6930154655
184	0.6910121814
185	0.6889430077
186	0.6871996351
187	0.6830802362
188	0.6817183161
189	0.6781776703
190	0.6754600461
191	0.6735836032
192	0.672638706
193	0.670591463
194	0.6690040437
195	0.6664579818
196	0.664814665
197	0.663621211
198	0.6618153657
199	0.6600679393
200	0.6584604529
201	0.6570104755
202	0.6556639865
203	0.6532424936
204	0.6516464214
205	0.6486127481
206	0.6463635355
207	0.6439645922
208	0.6420868032
209	0.6397418605
210	0.6380716575
211	0.634467644
212	0.6327527128
213	0.6317705642
214	0.6305350139
215	0.6287750623
216	0.625998056
217	0.6247821274
218	0.6232805214
219	0.6216551538
220	0.6202172247
221	0.6183855736
222	0.6171963159
223	0.6152489904
224	0.6138375393
225	0.6123905051
226	0.6103894834
227	0.6085297902
228	0.607412426
229	0.605598808
230	0.6043533596
231	0.6027607895
232	0.6016480263
233	0.6003833378
234	0.5978332894
235	0.5965792178
236	0.5946599282
237	0.5938286797
238	0.5924363637
239	0.5910281596
240	0.5871543947
241	0.5859218681
242	0.5846634833
243	0.5831682591
244	0.5817332807
245	0.5811677753
246	0.5802936564
247	0.5794333757
248	0.5783616798
249	0.5771753316
250	0.5752824928
251	0.5742023528
252	0.572327186
253	0.5710706048
254	0.5702566265
255	0.5686615414
256	0.5673927654
257	0.5663840404
258	0.5649247015
259	0.5621046077
260	0.56005099
261	0.5589697473
262	0.5578711438
263	0.5563921024
264	0.5553747524
265	0.5539476834
266	0.5527371803
267	0.5511552316
268	0.5505809334
269	0.5492744858
270	0.5481240513
271	0.5465501002
272	0.5451064742
273	0.5439259185
274	0.5425342577
275	0.5409836711
276	0.5390831683
277	0.5378851098
278	0.5367492916
279	0.5340259086
280	0.5325876719
281	0.5308464144
282	0.530271202
283	0.5289698723
284	0.5279310588
