iter	Passed	Remaining
0	36	18077
1	65	16236
2	90	14941
3	113	14099
4	146	14520
5	169	13989
6	192	13545
7	216	13318
8	246	13457
9	301	14777
10	324	14437
11	352	14338
12	374	14046
13	402	13961
14	426	13790
15	451	13657
16	478	13607
17	503	13482
18	525	13312
19	551	13231
20	573	13081
21	599	13029
22	624	12961
23	649	12890
24	677	12863
25	702	12813
26	725	12712
27	748	12623
28	773	12559
29	801	12563
30	834	12628
31	862	12616
32	891	12621
33	917	12577
34	946	12577
35	970	12503
36	994	12448
37	1017	12367
38	1039	12292
39	1063	12234
40	1089	12201
41	1122	12246
42	1147	12194
43	1173	12164
44	1200	12143
45	1223	12078
46	1251	12063
47	1277	12029
48	1302	11991
49	1333	11997
50	1381	12160
51	1411	12159
52	1435	12105
53	1459	12053
54	1482	11994
55	1507	11955
56	1535	11934
57	1562	11905
58	1587	11868
59	1610	11809
60	1633	11758
61	1656	11698
62	1678	11645
63	1701	11590
64	1724	11539
65	1747	11488
66	1774	11464
67	1802	11448
68	1830	11430
69	1854	11391
70	1878	11349
71	1901	11301
72	1938	11337
73	1961	11292
74	1986	11254
75	2015	11244
76	2039	11203
77	2063	11163
78	2087	11124
79	2111	11087
80	2137	11054
81	2169	11060
82	2192	11017
83	2215	10972
84	2240	10937
85	2264	10903
86	2294	10894
87	2322	10872
88	2350	10852
89	2378	10834
90	2401	10793
91	2423	10749
92	2446	10706
93	2468	10663
94	2491	10622
95	2517	10595
96	2541	10560
97	2564	10521
98	2594	10509
99	2617	10468
100	2640	10432
101	2663	10394
102	2686	10353
103	2722	10367
104	2759	10381
105	2793	10383
106	2815	10340
107	2837	10299
108	2860	10260
109	2881	10217
110	2903	10176
111	2927	10140
112	2950	10104
113	2975	10074
114	2997	10036
115	3020	9999
116	3042	9959
117	3065	9924
118	3088	9888
119	3113	9858
120	3135	9821
121	3157	9783
122	3180	9748
123	3202	9709
124	3228	9686
125	3253	9657
126	3277	9626
127	3299	9589
128	3323	9558
129	3346	9523
130	3369	9490
131	3391	9454
132	3413	9419
133	3435	9383
134	3458	9350
135	3481	9319
136	3504	9285
137	3526	9250
138	3549	9218
139	3574	9190
140	3599	9163
141	3621	9131
142	3643	9095
143	3665	9061
144	3688	9031
145	3711	8998
146	3732	8964
147	3756	8934
148	3779	8902
149	3801	8871
150	3825	8842
151	3847	8809
152	3869	8776
153	3892	8744
154	3914	8712
155	3935	8679
156	3959	8650
157	3981	8619
158	4005	8589
159	4026	8556
160	4049	8526
161	4071	8495
162	4094	8465
163	4117	8435
164	4142	8410
165	4164	8379
166	4189	8353
167	4211	8321
168	4236	8298
169	4260	8270
170	4283	8241
171	4306	8213
172	4328	8182
173	4351	8152
174	4373	8121
175	4395	8091
176	4417	8060
177	4439	8030
178	4461	8001
179	4484	7972
180	4507	7944
181	4530	7915
182	4553	7887
183	4575	7858
184	4597	7828
185	4619	7798
186	4641	7768
187	4664	7740
188	4686	7710
189	4708	7682
190	4730	7653
191	4752	7623
192	4774	7593
193	4795	7564
194	4818	7536
195	4840	7507
196	4862	7478
197	4884	7450
198	4906	7421
199	4928	7392
200	4950	7363
201	4972	7336
202	4994	7306
203	5016	7278
204	5038	7250
205	5060	7222
206	5082	7194
207	5104	7166
208	5126	7138
209	5148	7110
210	5171	7083
211	5193	7055
212	5218	7031
213	5243	7007
214	5268	6983
215	5290	6956
216	5312	6928
217	5335	6901
218	5357	6874
219	5382	6849
220	5403	6822
221	5426	6794
222	5447	6766
223	5469	6739
224	5492	6712
225	5519	6691
226	5542	6665
227	5565	6639
228	5586	6611
229	5609	6584
230	5630	6557
231	5653	6530
232	5674	6502
233	5696	6475
234	5719	6449
235	5741	6422
236	5763	6395
237	5786	6369
238	5808	6343
239	5838	6324
240	5860	6298
241	5883	6272
242	5906	6246
243	5928	6219
244	5950	6193
245	5973	6167
246	5995	6140
247	6016	6113
248	6038	6087
249	6060	6060
250	6082	6034
251	6105	6008
252	6127	5981
253	6148	5955
254	6170	5928
255	6192	5902
256	6218	5879
257	6240	5853
258	6264	5828
259	6286	5802
260	6308	5776
261	6330	5750
262	6352	5724
263	6374	5698
264	6395	5671
265	6418	5646
266	6440	5620
267	6464	5596
268	6485	5569
269	6507	5543
270	6533	5520
271	6556	5496
272	6578	5470
273	6601	5445
274	6623	5419
275	6645	5393
276	6667	5367
277	6689	5342
278	6711	5316
279	6734	5291
280	6756	5265
281	6779	5240
282	6800	5214
283	6822	5188
284	6844	5163
285	6865	5137
286	6887	5111
287	6909	5086
288	6932	5061
289	6954	5036
290	6977	5011
291	6999	4986
292	7021	4960
293	7043	4935
294	7065	4910
295	7087	4884
296	7108	4858
297	7130	4833
298	7152	4808
299	7175	4783
300	7198	4758
301	7224	4736
302	7249	4713
303	7273	4689
304	7295	4664
305	7317	4639
306	7340	4614
307	7362	4589
308	7383	4563
309	7405	4538
310	7428	4514
311	7450	4489
312	7472	4464
313	7494	4439
314	7516	4414
315	7543	4392
316	7564	4367
317	7586	4342
318	7608	4317
319	7630	4292
320	7651	4266
321	7673	4241
322	7696	4217
323	7718	4192
324	7740	4167
325	7765	4144
326	7786	4119
327	7808	4094
328	7830	4069
329	7852	4045
330	7874	4020
331	7895	3995
332	7917	3970
333	7939	3945
334	7962	3921
335	7985	3897
336	8007	3872
337	8029	3848
338	8050	3823
339	8072	3798
340	8094	3774
341	8116	3749
342	8138	3725
343	8160	3700
344	8182	3676
345	8205	3652
346	8228	3627
347	8251	3603
348	8273	3579
349	8296	3555
350	8321	3532
351	8346	3509
352	8368	3484
353	8390	3460
354	8412	3435
355	8434	3411
356	8455	3387
357	8480	3363
358	8502	3339
359	8525	3315
360	8547	3291
361	8569	3266
362	8591	3242
363	8612	3217
364	8634	3193
365	8657	3169
366	8678	3145
367	8700	3120
368	8722	3096
369	8744	3072
370	8766	3048
371	8788	3023
372	8809	2999
373	8832	2975
374	8854	2951
375	8877	2927
376	8898	2903
377	8920	2878
378	8941	2854
379	8963	2830
380	8986	2806
381	9008	2782
382	9030	2758
383	9052	2734
384	9074	2710
385	9095	2686
386	9117	2662
387	9139	2638
388	9161	2614
389	9182	2589
390	9209	2567
391	9232	2543
392	9256	2520
393	9278	2496
394	9301	2472
395	9323	2448
396	9345	2424
397	9367	2400
398	9389	2376
399	9411	2352
400	9433	2328
401	9456	2305
402	9477	2281
403	9500	2257
404	9525	2234
405	9547	2210
406	9569	2186
407	9591	2162
408	9614	2139
409	9636	2115
410	9658	2091
411	9680	2067
412	9702	2043
413	9724	2019
414	9746	1996
415	9768	1972
416	9790	1948
417	9812	1924
418	9834	1901
419	9856	1877
420	9878	1853
421	9901	1830
422	9924	1806
423	9946	1782
424	9969	1759
425	9991	1735
426	10013	1711
427	10035	1688
428	10057	1664
429	10079	1640
430	10100	1617
431	10124	1593
432	10147	1570
433	10169	1546
434	10195	1523
435	10220	1500
436	10243	1476
437	10265	1453
438	10287	1429
439	10309	1405
440	10333	1382
441	10355	1358
442	10377	1335
443	10399	1311
444	10421	1288
445	10444	1264
446	10466	1240
447	10489	1217
448	10510	1193
449	10533	1170
450	10556	1146
451	10578	1123
452	10600	1099
453	10622	1076
454	10644	1052
455	10665	1029
456	10687	1005
457	10709	982
458	10732	958
459	10754	935
460	10777	911
461	10800	888
462	10833	865
463	10855	842
464	10877	818
465	10900	795
466	10921	771
467	10944	748
468	10966	724
469	10988	701
470	11010	677
471	11032	654
472	11054	631
473	11076	607
474	11098	584
475	11120	560
476	11142	537
477	11164	513
478	11194	490
479	11218	467
480	11240	444
481	11263	420
482	11285	397
483	11307	373
484	11331	350
485	11354	327
486	11376	303
487	11398	280
488	11420	256
489	11442	233
490	11465	210
491	11488	186
492	11510	163
493	11532	140
494	11553	116
495	11575	93
496	11597	70
497	11619	46
498	11642	23
499	11664	0
