COUNTRY,INDEX_TYPE,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
United States,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.27898402,12.46624521,12.88280583,13.23439828,13.36815627,13.56306078,13.70828375,13.872615,14.04458957,14.22420745,14.44968521,14.88535411,15.29809307,15.95159642,16.82293422,17.80510008,18.56943148,19.17707495,20.36178863,22.61274461,24.68026107,26.09809582,27.79491154,29.91593119,33.28281103,37.79236632,41.6980998,44.25478835,45.67644476,47.64077647,49.32994887,50.26625484,52.10829353,54.23313484,56.8509699,59.91976049,62.45734075,64.34906098,66.24842452,67.9758135,69.88282035,71.93122852,73.61275761,74.75543306,76.39110227,78.97072076,81.20256846,82.49046688,84.36307882,86.62167812,89.56053237,92.44970508,95.08699238,98.73747739,98.38641997,100,103.1568416,105.2915045,106.8338489,108.5669321,108.695722,110.0670089,112.4115573,115.1573032,117.2441955,118.6905016,124.2664138,134.2112062,139.7357936,143.857336,
United Kingdom,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.963509083,5.2107145,5.403057833,5.564762,5.597103083,5.65327425,5.848170667,6.093589083,6.216590833,6.420593667,6.727098333,6.990102167,7.163604583,7.50010975,7.9086155,8.412122917,9.20663425,9.857644417,10.76415667,12.49115917,15.51493,18.08412833,20.9487025,22.67972333,25.7236325,30.34512083,33.9490975,36.86833417,38.5677075,40.48094,42.9386975,44.41046833,46.25302417,48.175,50.95,55.05833333,59.16666667,61.88333333,63.46666667,64.875,66.625,68.525,70.03333333,71.30833333,72.55833333,73.41666667,74.54166667,75.675,76.71666667,77.78333333,79.40833333,81.35833333,83.3,86.23333333,87.925,90.11666667,93.59166667,96,98.2,99.625,99.99166667,101,103.5833333,105.9583333,107.8,108.8666667,111.6083333,120.45,128.6333333,132.8416667,
Austria,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4524175,14.6077825,14.89201333,15.41952417,16.09517667,16.5311575,17.17067583,18.0173475,18.38757167,19.1184175,19.64701583,20.25222333,21.1378175,22.132195,23.53872833,25.31144833,27.72155083,30.0627075,32.2629025,34.035625,35.25216667,36.55910583,38.872685,41.51721,43.77409833,45.2357875,47.79757417,49.32208583,50.16324667,50.86651167,51.84097,53.17242667,54.90684333,56.73931917,59.02072083,61.16422667,62.97065667,64.38331917,65.58147417,66.43795417,67.0508225,67.4323375,69.01353333,70.8423925,72.12489333,73.102585,74.60938,76.3247525,77.42501083,79.104015,81.64796083,82.06135167,83.5495625,86.295485,88.44051083,90.20945917,91.65805333,92.47982583,93.30436833,95.24628333,97.14966583,98.63692583,100,102.7666667,111.55,120.2666667,123.8,
Belgium,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.279585,13.65392,14.08643583,14.2680075,14.44342667,14.48668,14.63048583,14.83598667,15.15466417,15.78642583,16.42817583,17.113945,17.5812075,18.056155,18.73398167,19.46619417,20.31173333,21.41840417,22.90811417,25.81237917,29.108155,31.74786,34.00068833,35.52072083,37.10817167,39.57537833,42.593985,46.31097,49.85913583,53.02109,55.60254583,56.3222475,57.1971475,57.86116917,59.658945,61.71617167,63.70053833,65.24715917,67.04434417,68.63835083,69.64593917,71.0925,72.25,72.93583333,73.75333333,75.63,77.4975,78.7725,80.02416667,81.7025,83.975,85.47916667,87.0375,90.945,90.89666667,92.88666667,96.1675,98.89833333,99.99916667,100.3391667,100.9025,102.8941667,105.0816667,107.2391667,108.78,109.5858333,112.26,123.0341667,128.0158333,132.04,
Denmark,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4254175,12.34004583,12.77045667,13.60243167,14.40087667,15.34591417,16.77360333,19.33580583,21.19312833,23.10269083,25.62602167,28.243375,30.95786,34.767325,38.85853083,42.791335,45.74745833,48.62533,50.90038833,52.77259833,54.89405333,57.38357167,60.12233083,61.71052417,63.18858583,64.51304667,65.32452833,66.6258025,68.01402333,69.46020417,70.97594167,72.28591,74.09146417,76.24254833,78.025,79.91666667,81.575,82.51666667,84.01666667,85.63333333,87.08333333,90.05833333,91.23333333,93.34166667,95.91666667,98.21666667,98.99166667,99.55,100,100.25,101.4,102.225,103,103.4333333,105.35,113.4583333,117.2083333,118.8166667,
France,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.409065333,7.549638583,7.780481667,8.967824083,9.489326,9.882178,10.11939583,10.65888917,11.19174333,11.55113167,11.86337083,12.17205583,12.5118725,13.0803125,13.87114333,14.60626417,15.39464,16.3280175,17.53312333,19.926275,22.254845,24.39698417,26.71336917,29.184505,32.29170167,36.67128917,41.55385333,46.53137,50.9330275,54.8415275,58.03939167,59.51273667,61.47005,63.1302425,65.33872917,67.42583333,69.5925,71.2375,72.73666667,73.94083333,75.26916667,76.76166667,77.68583333,78.19166667,78.61166667,79.92916667,81.23583333,82.79833333,84.53583333,86.34666667,87.85416667,89.32583333,90.655,93.205,93.28666667,94.715,96.715,98.605,99.45666667,99.96166667,99.99916667,100.1825,101.2166667,103.09,104.2325,104.7291667,106.4491667,112.0083333,117.4725,119.8208333,
Germany,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89404833,20.41486417,20.84286,21.28632333,21.477115,21.807135,22.30732417,22.94158167,23.62224917,24.1740025,24.95780083,25.839575,26.30366667,26.69040667,27.20090833,28.1394075,29.61418667,31.238505,33.43520417,35.77113167,37.88532583,39.49417583,40.9689525,42.08277417,43.78444167,46.16677833,49.09571083,51.66883917,53.37050833,54.6544925,55.78378167,55.71159,55.85081667,56.5624225,58.13518,59.70277667,62.1189675,65.26031,68.1804325,70.01657,71.211165,72.2435325,73.64460333,74.31564083,74.75070917,75.82732,77.33162583,78.43035833,79.2415025,80.5614575,81.80767167,83.0981275,85.00800833,87.24234167,87.5151825,88.48118417,90.31732167,92.131335,93.51765667,94.36566917,94.85111083,95.31753833,96.75635167,98.432335,99.85533167,100,103.0666667,110.15,116.7,119.3333333,
San Marino,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.64992705,94.30758782,96.97397666,98.52982034,99.62642081,99.77156264,100.4141667,101.4325,102.6125,103.0975,102.96,104.6233333,110.195,116.7316667,118.1816667,
Italy,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.515829333,3.63475975,3.682666083,3.787948833,3.7687305,3.85730175,3.936403333,4.121065667,4.4282795,4.690093667,4.902051583,5.017082583,5.20438725,5.270863583,5.41092375,5.67975575,5.951910583,6.294115917,6.973793417,8.309956167,9.7185355,11.33318917,13.27457,14.87999833,17.08202583,20.6802125,24.39630167,28.41691333,32.57901833,36.09575917,39.41873167,41.7143,43.69459667,45.9047775,48.77833917,51.92776583,55.17325083,58.08120667,60.76847,63.2307125,66.5411075,69.20739417,70.62137583,72.00208417,73.19981,75.05739083,77.14786333,79.0498075,81.1624575,82.95349917,84.60036917,86.36923083,87.94956417,90.89396833,91.59818583,92.99553083,95.581395,98.4883725,99.68992417,99.93022417,99.9689875,99.875,101.1,102.25,102.875,102.7333333,104.6583333,113.2416667,119.6083333,120.7833333,
Luxembourg,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.653085,14.73739917,15.4187525,15.51921417,15.57925667,15.64930417,15.72480167,15.8656875,16.32203583,16.82742833,17.38840083,17.96772667,18.35693583,18.83888417,19.27113,20.16518583,21.10734667,22.21034917,23.558095,25.80569167,28.57146083,31.37070583,33.47426667,34.51018167,36.07919667,38.35215,41.4482975,45.32663583,49.256125,52.42617917,54.57229083,54.73304083,54.7020275,55.48787167,57.358345,59.22465167,61.0714875,62.99778833,65.25821083,66.690475,67.93604917,68.74031667,69.68034917,70.34828417,71.0694925,73.30872667,75.26154,76.82252917,78.39726833,80.14214,82.13583333,84.32583333,86.27583333,89.21083333,89.53916667,91.575,94.69833333,97.22,98.90583333,99.5275,100,100.2908333,102.0266667,103.5858333,105.3916667,106.2558333,108.9408333,115.8433333,120.1775,122.6425,
Netherlands,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62817083,16.00811083,16.5273575,17.4898725,18.17338333,19.22055917,19.88469333,20.62456167,22.15527333,22.968135,24.68561833,26.61178583,28.74663917,31.50385083,34.72274917,37.78899417,40.20722333,41.86054917,43.61839917,46.45946417,49.59033333,52.52166583,53.96120083,55.74280583,57.00180417,57.04931333,56.6549825,57.07306833,57.69068917,59.10647167,60.9731725,62.91430333,64.540125,66.3482325,67.624255,68.9425,70.39666667,71.77583333,73.32416667,75.055,78.17416667,80.74416667,82.43333333,83.475,84.88416667,85.81916667,87.20416667,89.3725,90.43583333,91.58916667,93.73333333,96.035,98.4425,99.40333333,100,100.3166667,101.7025,103.435,106.1591667,107.51,110.3866667,121.4266667,126.0875,130.3083333,
Norway,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22089225,7.495632833,7.710646917,8.098866417,8.28401775,8.313881,8.4930595,8.9410055,9.161992333,9.699527833,10.10566883,10.43416,10.91196833,11.288245,11.62271,12.85904167,13.65937083,14.6508275,15.73784167,17.21905083,19.23182417,20.9937425,22.90497917,24.77440833,25.89166667,28.70833333,32.625,36.325,39.4,41.85,44.24166667,47.41666667,51.55,54.99166667,57.49166667,59.86666667,61.925,63.36666667,64.81666667,65.70833333,67.325,68.175,69.925,71.5,73.19166667,75.45,77.71666667,78.71666667,80.675,81.04166667,82.28333333,84.2,84.8,87.98333333,89.91666667,92.09166667,93.275,93.925,95.91666667,97.875,100,103.55,105.4916667,108.4083333,110.7583333,112.1833333,116.0916667,122.7833333,129.5583333,133.6333333,
Sweden,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.22173667,24.36931083,25.42217583,26.53910583,26.7524525,27.86048,28.46170167,29.8182425,30.674545,31.713695,33.30343,35.43645083,36.95643333,37.67454333,38.68874,41.40328083,44.4652775,47.13648,50.3031075,55.28901333,60.69620917,66.9171,74.57362417,82.02745583,87.94146,99.995,112.0983333,121.7266667,132.5275,143.1883333,153.745,160.2575,166.97,176.6958333,188.0808333,207.5783333,227.1833333,232.5775,243.5741667,248.8308333,254.94,256.2991667,257.9866667,257.2975,258.4866667,260.8108333,267.0858333,272.8508333,278.105,279.1441667,280.4091667,284.2233333,290.5108333,300.4958333,299.01,302.4725,311.4291667,314.1958333,314.0566667,313.4925,313.3458333,316.43,322.1083333,328.4008333,334.26,335.9225,343.1891667,371.9116667,403.705,415.1533333,
Switzerland,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99658,23.34411833,23.8026875,24.24103583,24.08358417,24.4300975,24.88093,25.95478917,26.84768917,27.6747475,28.61969583,29.98656667,31.1875875,31.93478667,32.729655,33.913155,36.14234167,38.54942417,41.92429917,46.01921917,49.10094,49.943255,50.59051917,51.11099083,52.97533583,55.10626917,58.68283667,62.00141083,63.830325,65.70148333,67.95859167,68.46849167,69.45465833,70.755175,72.98769167,76.93191667,81.43981667,84.72756667,87.517325,88.263075,89.85165833,90.580925,91.05215,91.06848333,91.8029,93.233675,94.155775,94.760925,95.36575833,96.13145833,97.258075,98.28853333,99.00835,101.4103333,100.923075,101.6176667,101.8527583,101.147375,100.9275583,100.9142333,99.75986667,99.32629167,99.85648333,100.791475,101.1572333,100.4229583,101.0072333,103.8708167,106.088875,107.2159,
